¶ZÂ÷,SNR,¦³³Q¾B¦í?
20659.9191,18,1
21315.01084,32,0
22557.11486,14,0
24921.86813,15,1
24815.97224,9,1
20861.5886,15,1
22721.14226,17,1
24921.86813,11,1
21616.21388,29,0
25352.45061,0,1
23332.75571,30,1
23706.88837,22,0
20659.9191,31,0
21372.46892,23,1
22244.07846,33,0
24921.86813,29,0
24502.94067,17,1
21315.01084,29,0
23332.75571,19,1
24298.40183,26,0
21746.34313,22,1
25135.81867,7,1
23900.18874,20,1
23998.32427,32,0
21204.30856,36,0
22095.26087,37,0
21616.21388,22,1
25461.6958,10,1
23706.88837,15,1
23332.75571,36,0
23517.69044,38,0
25792.76643,14,0
23803.0362,13,1
21951.69144,26,1
22638.51351,40,0
24815.97224,24,0
25135.81867,19,1
21099.25836,36,0
21951.69144,22,1
21680.59629,38,0
25352.45061,21,1
23998.32427,29,0
23424.68053,17,1
23152.23476,19,1
25352.45061,10,1
24298.40183,20,0
22244.07846,23,0
22398.06033,24,1
24710.834,16,1
25792.76643,0,1
24921.86813,29,1
20861.5886,41,0
21616.21388,34,0
21881.89899,28,1
25135.81867,17,1
24815.97224,23,0
23900.18874,23,0
22244.07846,27,1
24400.239,30,0
25243.81457,10,1
23152.23476,25,1
22169.01871,34,0
24921.86813,11,1
24921.86813,13,1
24502.94067,28,1
20952.35892,30,1
21746.34313,32,1
21746.34313,29,1
25135.81867,29,0
24502.94067,22,1
23706.88837,26,1
22638.51351,30,1
24710.834,18,1
24815.97224,20,1
22721.14226,28,0
24400.239,32,1
25352.45061,15,1
20736.24328,29,0
21431.32432,33,0
22095.26087,21,0
24921.86813,11,1
25681.88632,20,1
24298.40183,16,1
21553.20319,36,0
23611.76632,32,1
23900.18874,25,1
21881.89899,35,0
25028.49329,18,1
24197.45418,17,1
24197.45418,13,1
21553.20319,24,1
25571.51846,0,1
22557.11486,39,0
21491.57115,21,1
25792.76643,0,1
23063.6738,19,1
23063.6738,18,0
22721.14226,12,0
20736.24328,27,0
22804.9873,26,1
22022.81518,0,1
21204.30856,36,0
22976.26828,33,0
25571.51846,15,1
23706.88837,0,1
25028.49329,26,1
25135.81867,0,1
22022.81518,19,1
23900.18874,18,1
20776.57978,35,0
21491.57115,33,0
21951.69144,18,1
25028.49329,8,1
25243.81457,11,1
24097.42043,31,0
21881.89899,37,0
23998.32427,33,0
25571.51846,0,1
23517.69044,18,1
22022.81518,30,0
24921.86813,21,0
24502.94067,23,0
24298.40183,10,1
20999.89652,15,1
21813.44672,17,1
21746.34313,15,1
25243.81457,14,1
24400.239,15,1
23611.76632,17,1
22804.9873,38,0
25028.49329,31,0
24606.48113,23,0
22638.51351,34,0
22244.07846,14,1
24815.97224,12,1
25352.45061,15,1
24815.97224,19,1
20861.5886,33,0
21680.59629,28,1
21813.44672,23,1
25135.81867,16,1
24710.834,16,1
23803.0362,18,1
22398.06033,34,0
24606.48113,23,1
25028.49329,17,1
22976.26828,33,0
22169.01871,23,1
24921.86813,12,1
25135.81867,14,1
24606.48113,17,1
